time,logger,level,database,message,exception
2015-06-07 21:22:57.6105,Raven.Database.DocumentDatabase,Debug,<system>,Start loading the following database: <system>,
2015-06-07 21:22:58.3373,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2015-06-07 21:22:58.3832,Raven.Database.Storage.Esent.StorageConfigurator,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-07 21:22:58.3832,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-07 21:22:58.8055,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2015-06-07 21:22:58.8645,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: <system>,
2015-06-07 21:22:58.8645,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Counters/Enabled' was not found,
2015-06-07 21:22:58.8883,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-06-07 21:22:58.8883,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-06-07 21:22:58.8883,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2015-06-07 21:23:01.5000,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  21: GET     -    50 ms -            - 200 - http://nathalie-w81pc:8080/singleAuthToken,
2015-06-07 21:23:01.5270,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  22: GET     -    12 ms -            - 200 - http://nathalie-w81pc:8080/studio-tasks/server-configs,
2015-06-07 21:23:01.6797,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  23: GET     -   120 ms -            - 200 - http://nathalie-w81pc:8080/fs?pageSize=1024&getAdditionalData=true,
2015-06-07 21:23:01.7646,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  25: GET     -    87 ms -            - 200 - http://nathalie-w81pc:8080/databases?pageSize=1024&getAdditionalData=true,
2015-06-07 21:23:01.9343,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2015-06-07 21:23:01.9343,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  26: GET     -    10 ms -            - 200 - http://nathalie-w81pc:8080/build/version,
2015-06-07 21:23:01.9742,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Document with key 'Raven/Alerts' was found, etag: 01000000-0000-0002-0000-000000000002",
2015-06-07 21:23:01.9632,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  27: POST    -   120 ms -            - 200 - http://nathalie-w81pc:8080/queries,
2015-06-07 21:23:02.0541,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2015-06-07 21:23:02.0418,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  28: POST    -    67 ms -            - 200 - http://nathalie-w81pc:8080/queries,
2015-06-07 21:23:02.0681,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2015-06-07 21:23:02.0811,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  29: GET     -    14 ms -            - 200 - http://nathalie-w81pc:8080/license/status,
2015-06-07 21:23:02.1120,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  31: GET     -    23 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=uUcYv&command=watch-prefix&value=Raven%2FDatabases%2F,
2015-06-07 21:23:02.1120,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  32: GET     -     1 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=uUcYv&command=watch-prefix&value=Raven%2FCounters%2F,
2015-06-07 21:23:02.1120,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  33: GET     -    14 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=uUcYv&command=watch-prefix&value=Raven%2FFileSystems%2F,
